title,author,Coverdate,Volume,Issue,Pages,DOI
Fragmentation and Price Discovery: A Comparison of Reg NMS and MiFID1,"Frederick H. deB. Harris,Thomas H. McInish,Frank J. Sensenbrenner and Robert A. Wood",Fall 2014,9,(4),6-36,https://doi.org/10.3905/jot.2014.9.4.006
Does High-Speed Trading Enhance Market Efficiency? Empirical Analysison “Arrowhead” of the Tokyo Stock Exchange,Shinichi Nagata and Koji Inui,Fall 2014,9,(4),37-47,https://doi.org/10.3905/jot.2014.9.4.037
Understanding the Stakes of High-Frequency Trading,"Frédéric Abergel,Charles-Albert Lehalle and Mathieu Rosenbaum",Fall 2014,9,(4),49-73,https://doi.org/10.3905/jot.2014.9.4.049
Both Calamity and Catalyst: Reflections on This Centennial Momentin Financial Services,Chip Register,Fall 2014,9,(4),75-81,https://doi.org/10.3905/jot.2014.9.4.075
Effect of Volatility Fluctuations on Optimal Execution Schedules,Adriana M. Criscuolo and Henri Waelbroeck,Fall 2014,9,(4),82-90,https://doi.org/10.3905/jot.2014.9.4.082
Ex Post Price Impact Modeling: Challenges and Opportunities,"Denizhan Alparslan,Milan Borkovec and Konstantin Tyurin",Fall 2014,9,(4),91-99,https://doi.org/10.3905/jot.2014.9.4.091
On the Efficacy of Stop-Loss Strategies,Sarah Marietta Tooth,Fall 2014,9,(4),100-107,https://doi.org/10.3905/jot.2014.9.4.100
Editor’s Letter,Brian Bruce,Winter 2015,10,(1),1,https://doi.org/10.3905/jot.2014.10.1.001
The Cost of Liquidity in the FX Market,"Milan Borkovec,James Cochrane,Ian Domowitz and Christopher Escobar",Winter 2015,10,(1),6-19,https://doi.org/10.3905/jot.2014.10.1.006
Trading Strategies Around Earnings Announcements,Padma Kadiyala,Winter 2015,10,(1),21-36,https://doi.org/10.3905/jot.2014.10.1.021
Evaluation of Systematic Trading Programs,Mikhail Munenzon,Winter 2015,10,(1),37-55,https://doi.org/10.3905/jot.2014.10.1.037
On the Trading Behavior of Emerging Market ETFs,Gerasimos G. Rompotis,Winter 2015,10,(1),56-86,https://doi.org/10.3905/jot.2014.10.1.056
A Framework for Stop-Loss Analysis on Trading Strategies,Oliver Chan and Alfred Ka Chun Ma,Winter 2015,10,(1),87-95,https://doi.org/10.3905/jot.2014.10.1.087
Does Broker Competition in Liquidity Supply Matter?,"Kristoffer Kevin Avila,Joel Fabre and Elvis Jarnecic",Winter 2015,10,(1),96-115,https://doi.org/10.3905/jot.2014.10.1.096
Editor’s Letter,Brian Bruce,Spring 2015,10,(2),1,https://doi.org/10.3905/jot.2015.10.2.001
A Comparative Analysis on the Volume-Return Relationship of the Exchange-Traded Fund and the Stock Market,Jung-Chu Lin and Vichet Sum,Spring 2015,10,(2),5-22,https://doi.org/10.3905/jot.2015.10.2.005
The State of Play in European Over-the-Counter Equities Trading,"Peter Gomber,Satchit Sagade,Erik Theissen,Moritz Christian Weber and Christian Westheide",Spring 2015,10,(2),23-32,https://doi.org/10.3905/jot.2015.10.2.023
Expected Return in High-Frequency Trading,Rick Cooper and Ben Van Vliet,Spring 2015,10,(2),34-40,https://doi.org/10.3905/jot.2015.10.2.034
The Effects of Algorithmic Trading on Security Market Quality,Frederick H. deB. Harris,Spring 2015,10,(2),41-53,https://doi.org/10.3905/jot.2015.10.2.041
First Steps in Developing High-Frequency Trading Models,Bruce Vanstone and Tobias Hahn,Spring 2015,10,(2),54-71,https://doi.org/10.3905/jot.2015.10.2.054
Effects of High-Frequency Trading in the Multidealer Spot Foreign Exchange,Anatoly Schmidt,Spring 2015,10,(2),72-78,https://doi.org/10.3905/jot.2015.10.2.072
Should More Be Done to Address High-Frequency Trading?,Jason M. Valdez,Spring 2015,10,(2),79-80,https://doi.org/10.3905/jot.2015.10.2.079
Recommendations for Equitable Allocation of Trades in High-Frequency Trading Environments,John McPartland,Spring 2015,10,(2),81-100,https://doi.org/10.3905/jot.2015.10.2.081
"Two Years after “The Good, the Bad, and the Ugly” of Automated High-Frequency Trading",Tommi A. Vuorenmaa,Spring 2015,10,(2),101-102,https://doi.org/10.3905/jot.2015.10.2.101
What Is Wrong with Canada’s Capital Markets?,Jos Schmitt,Spring 2015,10,(2),103-107,https://doi.org/10.3905/jot.2015.10.2.103
Editor’s Letter,Brian R. Bruce,Summer 2015,10,(3),1,https://doi.org/10.3905/jot.2015.10.3.001
The Market Impact of Passive Trading,Michael Aked and Max Moroz,Summer 2015,10,(3),5-12,https://doi.org/10.3905/jot.2015.10.3.005
Behind Stock Price Movement: Supply and Demand in Market Microstructure and Market Influence,Jingle Liu and Sanghyun Park,Summer 2015,10,(3),13-23,https://doi.org/10.3905/jot.2015.10.3.013
Understanding ETFs: Trading and Valuation,David Abner,Summer 2015,10,(3),24-30,https://doi.org/10.3905/jot.2015.10.3.024
Impact of Macroeconomic Announcements on ETF Trading Volumes,Daniel Nadler and Anatoly (Alec) Schmidt,Summer 2015,10,(3),31-35,https://doi.org/10.3905/jot.2015.10.3.031
Dancing in the Dark: Optimal Liquidity Search under Portfolio Constraints,"Benjamin H. Polidore,Wenjie Xu,Julien Alexandre and Zhicheng Wei",Summer 2015,10,(3),36-43,https://doi.org/10.3905/jot.2015.10.3.036
Option Bid–Ask Spread and Liquidity,Mo Chaudhury,Summer 2015,10,(3),44-56,https://doi.org/10.3905/jot.2015.10.3.044
Optimal Measure and Drivers of U.S. Treasury Market (Il)Liquidity: Will Low Liquidity Be the New Normal?,Devdeep Sarkar and Joshua Younger,Summer 2015,10,(3),57-64,https://doi.org/10.3905/jot.2015.10.3.057
Corporate Fraud and Liquidity,Emre Kuvvet,Summer 2015,10,(3),65-71,https://doi.org/10.3905/jot.2015.10.3.065
Editor’s Letter,Brian R. Bruce,Fall 2015,10,(4),1,https://doi.org/10.3905/jot.2015.10.4.001
Performance Measurements for Machine-Learning Trading Systems,Dror Parnes,Fall 2015,10,(4),5-16,https://doi.org/10.3905/jot.2015.10.4.005
Predictable ETF Order Flows and Market Quality,Hendrik Bessembinder,Fall 2015,10,(4),17-23,https://doi.org/10.3905/jot.2015.10.4.017
Top 50 Australian Stocks’ Exchange Dark Pool Participation Rate,David Stocken and Andrew McCauley,Fall 2015,10,(4),24-27,https://doi.org/10.3905/jot.2015.10.4.024
"Garbage In, Garbage Out: An Optical Tour of the Role of Strategy in Venue Analysis","Ian Domowitz,Kristi Reitnauer and Colleen Ruane",Fall 2015,10,(4),29-39,https://doi.org/10.3905/jot.2015.10.4.029
Competition and Innovation in Option-Market Models,"Asli Ascioglu,Richard Holowczak,David Louton and Hakan Saraoglu",Fall 2015,10,(4),40-50,https://doi.org/10.3905/jot.2015.10.4.040
A Tale of Two Consequences,Ravi Kashyap,Fall 2015,10,(4),51-95,https://doi.org/10.3905/jot.2015.10.4.051
Editor’s Letter,Brian R. Bruce,Winter 2016,11,(1),1,https://doi.org/10.3905/jot.2016.11.1.001
Why Basel II Market Risk VaR is Too Conservative,Mo Chaudhury,Winter 2016,11,(1),6-12,https://doi.org/10.3905/jot.2016.11.1.006
Is Volatility Your Nemesis or Best Friend? It Depends on Who You Ask,Milan Borkovec and Konstantin Tyurin,Winter 2016,11,(1),13-25,https://doi.org/10.3905/jot.2016.11.1.013
A Look Inside the Shifting Volume Smile for U.S. Equities,Iaryna Grynkiv and Kimberly Russell,Winter 2016,11,(1),26-37,https://doi.org/10.3905/jot.2016.11.1.026
Analysis of Execution Methods in U.S. and European Futures,Aistis Raudys and Skirmantė Matkėnaitė,Winter 2016,11,(1),38-52,https://doi.org/10.3905/jot.2016.11.1.038
Profit Opportunities in the U.S. Treasury Market When the Market Is Under Stress,Onem Ozocak,Winter 2016,11,(1),53-67,https://doi.org/10.3905/jot.2016.11.1.053
Impact of Trading in the Multi-Dealer Spot Foreign Exchange,Anatoly B. Schmidt,Winter 2016,11,(1),68-75,https://doi.org/10.3905/jot.2016.11.1.068
The Ultimate Best Execution Conflict of Interest? A Speed Bump Designed to Enable Predatory High-Frequency Trading,Jos Schmitt,Winter 2016,11,(1),76-80,https://doi.org/10.3905/jot.2016.11.1.076
The Market for Small-Cap Stocks (NYSE MKT),"Xin Che,Bonnie F. Van Ness and Robert A. Van Ness",Winter 2016,11,(1),81-95,https://doi.org/10.3905/jot.2016.11.1.081
Editor’s Letter,Brian R. Bruce,Spring 2016,11,(2),1,https://doi.org/10.3905/jot.2016.11.2.001
Using Fundamental Earnings Factors to Forecast Equity Market Volatility,Haim A. Mozes and John Launny Steffens,Spring 2016,11,(2),5-10,https://doi.org/10.3905/jot.2016.11.2.005
An Application of Transaction Cost in the Portfolio Optimization Process,Grace Chung and Robert Kissell,Spring 2016,11,(2),11-20,https://doi.org/10.3905/jot.2016.11.2.011
Liquidity—How to Capture a Multidimensional Beast,Philip Sommer and Stefano Pasquali,Spring 2016,11,(2),21-39,https://doi.org/10.3905/jot.2016.11.2.021
A Better Way to Trade Small Caps: The Power of Volume Volatility in Algorithm Design,"Benjamin Polidore,lin jiang and Yichu Li",Spring 2016,11,(2),41-48,https://doi.org/10.3905/jot.2016.11.2.041
Momentum Strategies: Comparison of Programming Language Performance,"Francesco Ceccon,Lovjit Thukral and Pedro Vergel Eleuterio",Spring 2016,11,(2),49-53,https://doi.org/10.3905/jot.2016.11.2.049
The Impact of High-Frequency Trading on Market Volatility,Gianluca Virgilio,Spring 2016,11,(2),55-63,https://doi.org/10.3905/jot.2016.11.2.055
A New Approach to Stock Market Execution,Rebecca Lewis and John McPartland,Spring 2016,11,(2),65-70,https://doi.org/10.3905/jot.2016.11.2.065
"Beyond the Flash Crash:Systemic Risk, Reliability, and High Frequency Financial Markets","Andrew Kumiega,Greg Sterijevski and Ben Van Vliet",Spring 2016,11,(2),71-83,https://doi.org/10.3905/jot.2016.11.2.071
Editor’s Letter,Brian R. Bruce,Summer 2016,11,(3),1,https://doi.org/10.3905/jot.2016.11.3.001
Phantom Liquidity and High-Frequency Quoting,"Jesse Blocher,Rick Cooper,Jonathan Seddon and Ben Van Vliet",Summer 2016,11,(3),6-15,https://doi.org/10.3905/jot.2016.11.3.006
Slow Price Adjustment to Public News in After-Hours Trading,Jiasun Li,Summer 2016,11,(3),16-31,https://doi.org/10.3905/jot.2016.11.3.016
Toward Greater Transparency and Efficiency inTrading Fixed-Income ETF Portfolios,"Ananth Madhavan,Stephen Laipply and Aleksander Sobczyk",Summer 2016,11,(3),32-40,https://doi.org/10.3905/jot.2016.11.3.032
Pairs Trading with Copulas,"Wenjun Xie,Rong Qi Liew,Yuan Wu and Xi Zou",Summer 2016,11,(3),41-52,https://doi.org/10.3905/jot.2016.11.3.041
Timing Equity Quant Positions with Short-Horizon Alphas,Vinesh Jha,Summer 2016,11,(3),53-59,https://doi.org/10.3905/jot.2016.11.3.053
Pre-Event Trading Based on Value Line’s Weekly Rank-Change Announcements,"Ying Zhang,Hongfei Tang,Wikrom Prombutr and Steven V. Le",Summer 2016,11,(3),61-79,https://doi.org/10.3905/jot.2016.11.3.061
Hong Kong–Shanghai Connect/Hong Kong–Beijing Disconnect? Scaling the Great Wall of Chinese Securities Trading Costs,Ravi Kashyap,Summer 2016,11,(3),81-134,https://doi.org/10.3905/jot.2016.11.3.081
Editor’s Letter,Brian R. Bruce,Fall 2016,11,(4),1,https://doi.org/10.3905/jot.2016.11.4.001
Noise and How to Reduce It in Transition Management Pre-Trade Comparisons,Ramon Tol,Fall 2016,11,(4),6-13,https://doi.org/10.3905/jot.2016.11.4.006
Correlation Trading Strategies: Opportunities and Limitations,Gunter Meissner,Fall 2016,11,(4),14-32,https://doi.org/10.3905/jot.2016.11.4.014
The Effects of the Chinese Stock Crisis on the U.S.Exchange-Traded Funds Market,Gerasimos G. Rompotis,Fall 2016,11,(4),33-55,https://doi.org/10.3905/jot.2016.11.4.033
The Effect of High-Frequency Market Making on Option Market Liquidity,"Suchi Mishra,Robert T. Daigler and Richard Holowczak",Fall 2016,11,(4),56-76,https://doi.org/10.3905/jot.2016.11.4.056
To Cross or Not to Cross the Spread: That Is the Question,"Paul Besson,Stéphanie Pelin and Matthieu Lasnier",Fall 2016,11,(4),77-91,https://doi.org/10.3905/jot.2016.11.4.077
Editor’s Letter,Brian R. Bruce,Winter 2017,12,(1),1,https://doi.org/10.3905/jot.2017.12.1.001
Implementation Shortfall in Transaction Cost Analysis: A Further Extension,"Mohammad Sogir Hossain Khandoker,Rafiqul Bhuyan and Ranjit Singh",Winter 2017,12,(1),5-21,https://doi.org/10.3905/jot.2017.12.1.005
London Stock Exchange Midday Auction,Mainak Sarkar,Winter 2017,12,(1),22-34,https://doi.org/10.3905/jot.2017.12.1.022
Unrecognized Odd Lot Liquidity Supply: A Hidden Trading Cost for High Priced Stocks,"Robert Battalio,Shane A. Corwin and Robert Jennings",Winter 2017,12,(1),35-41,https://doi.org/10.3905/jot.2017.12.1.035
Ensuring Market Integrity and Stability: Circuit Breakers on International Trading Venues,"Peter Gomber,Benjamin Clapham,Martin Haferkorn,Sven Panz and Paul Jentsch",Winter 2017,12,(1),42-54,https://doi.org/10.3905/jot.2017.12.1.042
Determinants of Price Discovery: Dark Trading and Price Improvement,Drew Harris and Frederick H. de B. Harris,Winter 2017,12,(1),55-72,https://doi.org/10.3905/jot.2017.12.1.055
Approaching Venue Analysis,Marie Konstance,Winter 2017,12,(1),73-75,https://doi.org/10.3905/jot.2017.12.1.073
Transaction Cost Analysis with Excel and MATLAB,Robert Kissell and Nina (Ning) Zhang,Winter 2017,12,(1),76-87,https://doi.org/10.3905/jot.2017.12.1.076
Editor’s Letter,Brian R. Bruce,Spring 2017,12,(2),1,https://doi.org/10.3905/jot.2017.12.2.001
Microstructure under the Microscope: Tools to Survive and Thrive in the Age of (Too Much) Information,Ravi Kashyap,Spring 2017,12,(2),5-27,https://doi.org/10.3905/jot.2017.12.2.005
Quintet Volume Projection,"Vladimir Markov,Olga Vilenskaia and Vlad Rashkovich",Spring 2017,12,(2),28-43,https://doi.org/10.3905/jot.2017.12.2.028
Comparing Transition Track Records: An Attempt to Create Like-for-Like Comparisons,Ramon Tol,Spring 2017,12,(2),44-49,https://doi.org/10.3905/jot.2017.12.2.044
Conditional Probabilistic Analysis of Trade Ticks in Currency Derivatives Markets,Gaurav Raizada and S.V.D. Nageswara Rao,Spring 2017,12,(2),50-58,https://doi.org/10.3905/jot.2017.12.2.050
Price Discovery and Liquidity Characteristics for U.S. Electronic Futures and ETF Markets,"A. Senol Oztekin,Suchismita Mishra,Pankaj K. Jain,Robert T. Daigler,Sascha Strobl and Richard D. Holowczak",Spring 2017,12,(2),59-72,https://doi.org/10.3905/jot.2017.12.2.059
Can Trading Volume Validate Extreme Price Movements in the Age of Higher Algorithmic Trading Activities?,"Yu-Jung L. Avis,Chingfu Chang and Dandan Wu",Spring 2017,12,(2),73-87,https://doi.org/10.3905/jot.2017.12.2.073
Editor’s Letter,Brian R. Bruce,Summer 2017,12,(3),1,https://doi.org/10.3905/jot.2017.12.3.001
Footprints on a Blockchain: Trading and Information Leakage in Distributed Ledgers,"Rune Tevasvold Aune,Adam Krellenstein,Maureen O’Hara and Ouziel Slama",Summer 2017,12,(3),5-13,https://doi.org/10.3905/jot.2017.12.3.005
Market Makers under Extreme Market Conditions: Does Timing Matter?,"David Yechiam Aharon,Gitit Gur Gershgoren,Eyal Sharabi and Yaron Zelekha",Summer 2017,12,(3),14-29,https://doi.org/10.3905/jot.2017.12.3.014
Hidden Liquidity on the U.S. Stock Exchanges,Archana Jain and Chinmay Jain,Summer 2017,12,(3),30-36,https://doi.org/10.3905/jot.2017.12.3.030
Defeating the VPIN: Slipping into the Noise,E. Dan Glikstein and Lawrence Kryzanowski,Summer 2017,12,(3),37-47,https://doi.org/10.3905/jot.2017.12.3.037
High-Frequency Trading Patterns around Short-Term Volatility Spikes,"Todd G. Griffith,Bonnie F. Van Ness and Robert A. Van Ness",Summer 2017,12,(3),48-68,https://doi.org/10.3905/jot.2017.12.3.048
Social Media Sentiment and the FX Market,Ian Domowitz and Kumar Giritharan,Summer 2017,12,(3),70-79,https://doi.org/10.3905/jot.2017.12.3.070
Editor’s Letter,Brian R. Bruce,Fall 2017,12,(4),1,https://doi.org/10.3905/jot.2017.12.4.001
How Does a Stock Trade? Stock-Specific Peer Group Analysis and Its Application to Portfolio Liquidity,Ian Domowitz and Kumar Giritharan,Fall 2017,12,(4),5-16,https://doi.org/10.3905/jot.2017.12.4.005
Algorithmic Trading and Fragmentation,"Archana Jain,Chinmay Jain and Christine X. Jiang",Fall 2017,12,(4),18-28,https://doi.org/10.3905/jot.2017.12.4.018
Deconstructing Execution Cost and Risk,Lada Kyj and Bayao Zheng,Fall 2017,12,(4),29-37,https://doi.org/10.3905/jot.2017.12.4.029
DTER and DTTER as High-Frequency Trading Efficiency Ratios,Carlos Jorge Lenczewski Martins,Fall 2017,12,(4),39-55,https://doi.org/10.3905/jot.2017.12.4.039
Detecting Market Cycles Using Inverse-Logic Spectral Analysis,Dmytro Bondar,Fall 2017,12,(4),56-65,https://doi.org/10.3905/jot.2017.12.4.056
Liquidity in the U.K. Corporate Bond Market: Evidence from Trade Data,Matteo Aquilina and Felix Suntheim,Fall 2017,12,(4),67-80,https://doi.org/10.3905/jot.2017.12.4.067
Corrigendum: A Look at the Use of VIX Futures in Investment Portfolios: Buy-and-Hold versus Tactical Allocations,Travis L. Jones,Fall 2017,12,(4),81-83,https://doi.org/10.3905/jot.2017.12.4.081
Editor’s Letter,Brian R. Bruce,Winter 2018,13,(1),1,https://doi.org/10.3905/jot.2018.13.1.001
The Next Generation ETF Student-Managed Investment Program,"Robert C. Dolan,Jerry L. Stevens and Collin R. Zucker",Winter 2018,13,(1),7-16,https://doi.org/10.3905/jot.2018.13.1.007
Student-Managed Portfolios: Wisdom of Independent Crowds?,Daniel Dorn,Winter 2018,13,(1),17-26,https://doi.org/10.3905/jot.2018.13.1.017
Adding Value in Student-Managed Funds: Benchmark and Sector Selection,"J. Christopher Hughen,Jack Strauss and J.P. Tremblay",Winter 2018,13,(1),27-34,https://doi.org/10.3905/jot.2018.13.1.027
The Challenges of Managing a Student-Managed Fund,Paul Bolster and Harlan Platt,Winter 2018,13,(1),35-38,https://doi.org/10.3905/jot.2018.13.1.035
The Art and Science of Student-Managed Investment Portfolios,Rustin T. Yerkes,Winter 2018,13,(1),39-51,https://doi.org/10.3905/jot.2018.13.1.039
Fund Governance and Trade Events in a Student-Managed Portfolio,"Kathryn S. Berkow,Richard C. Jakotowicz and Bruce W. Weber",Winter 2018,13,(1),52-58,https://doi.org/10.3905/jot.2018.13.1.052
Integration of ESG Metrics into a Student-Managed Fund: Creating Sustainable Student-Managed Funds,"Asli Ascioglu,Kemal Saatcioglu and Adam Smith",Winter 2018,13,(1),59-71,https://doi.org/10.3905/jot.2018.13.1.059
The Impact of Market Conditions on Voting Results in a Student-Managed Fund,"Ariel I. Benton,Daniel Huerta-Sanchez and Mark K. Pyles",Winter 2018,13,(1),72-79,https://doi.org/10.3905/jot.2018.13.1.072
Issues in Running a Student-Managed Investment Fund with Part-Time Students,John M. Clark,Winter 2018,13,(1),80-83,https://doi.org/10.3905/jot.2018.13.1.080
Managing a Student-Managed Fund: The University of San Francisco Experience,Ludwig Chincarini and Tuan Anh Le,Winter 2018,13,(1),84-111,https://doi.org/10.3905/jot.2018.13.1.084
Editor’s Letter,Brian R. Bruce,Spring 2018,13,(2),1,https://doi.org/10.3905/jot.2018.13.2.001
Canceled Orders and Executed Hidden Orders,"Zhilu Lin,Bonnie F. Van Ness and Robert A. Van Ness",Spring 2018,13,(2),5-19,https://doi.org/10.3905/jot.2018.13.2.005
When Less Is More: Passive Volume Algos for Enhanced Performance,Paul Besson and Matthieu Lasnier,Spring 2018,13,(2),20-34,https://doi.org/10.3905/jot.2018.13.2.020
The Impact of MiFID II/MiFIR on European Market Structure: A Survey among Market Experts,"Peter Gomber,Benjamin Clapham,Jens Lausen and Sven Panz",Spring 2018,13,(2),35-46,https://doi.org/10.3905/jot.2018.13.2.035
Trading the VIX Futures Roll Using Exchange-Traded Funds,David L. Buehler and Patrick J. Cusatis,Spring 2018,13,(2),47-56,https://doi.org/10.3905/jot.2018.13.2.047
Optimal Leverage in Day Trading,Christian Lundström,Spring 2018,13,(2),57-68,https://doi.org/10.3905/jot.2018.13.2.057
Shorting Leveraged ETF Pairs,"Christopher Hessel,Jouahn Nam,Jun Wang,Cunyu Xing and Ge Zhang",Spring 2018,13,(2),69-79,https://doi.org/10.3905/jot.2018.13.2.069
Editor’s Letter,Brian R. Bruce,Summer 2018,13,(3),1,https://doi.org/10.3905/jot.2018.13.3.001
"MiFID II and Equity Market Liquidity, or There and Back Again",Harald Carlens and Duncan Higgins,Summer 2018,13,(3),5-12,https://doi.org/10.3905/jot.2018.13.3.005
Retail Order Flow Segmentation,Corey Garriott and Adrian Walton,Summer 2018,13,(3),13-23,https://doi.org/10.3905/jot.2018.13.3.013
"Municipal Bond Trading, Information Relatedness, and Natural Disasters","Brittany Cole,Bonnie Van Ness and Robert Van Ness",Summer 2018,13,(3),24-43,https://doi.org/10.3905/jot.2018.1.063
"Betas, Benchmarks, and Beating the Market",Zura Kakushadze and Willie Yu,Summer 2018,13,(3),44-66,https://doi.org/10.3905/jot.2018.13.3.044
A Posteriori Multistage Optimal Trading under Transaction Costs and a Diversification Constraint,Mogens Graf Plessen and Alberto Bemporad,Summer 2018,13,(3),67-83,https://doi.org/10.3905/jot.2018.1.064
Editor’s Letter,Brian R. Bruce,Fall 2018,13,(4),1-2,https://doi.org/10.3905/jot.2018.13.4.001
COMMENTARY: Volatility Forecasting,Haim A. Mozes and John Launny Steffens,Fall 2018,13,(4),10-13,https://doi.org/10.3905/jot.2018.13.4.010
Using Fundamental Earnings Factors to Forecast Equity Market Volatility,Haim A. Mozes and John Launny Steffens,Fall 2018,13,(4),14-19,https://doi.org/10.3905/jot.2018.13.4.014
"COMMENTARY: Commentary on “If Best Execution Is a Process, What Does That Process Look Like?”","Wayne H. Wagner,Mark Edwards and Steven Glass",Fall 2018,13,(4),20-21,https://doi.org/10.3905/jot.2018.13.4.020
"If Best Execution Is a Process, What Does That Process Look Like?",Wayne H. Wagner and Mark Edwards,Fall 2018,13,(4),22-26,https://doi.org/10.3905/jot.2018.13.4.022
COMMENTARY: Beyond the Black Box Revisited: Algorithmic Trading and TCA Analysis Using Excel,Robert Kissell,Fall 2018,13,(4),27-40,https://doi.org/10.3905/jot.2018.13.4.027
Creating Dynamic Pretrade Models: Beyond the Black Box,Robert Kissell,Fall 2018,13,(4),41-48,https://doi.org/10.3905/jot.2018.13.4.041
Footprints on a Blockchain: Trading and Information Leakage in Distributed Ledgers,"Rune Tevasvold Aune,Adam Krellenstein,Maureen O’Hara and Ouziel Slama",Fall 2018,13,(4),49-57,https://doi.org/10.3905/jot.2018.13.4.049
COMMENTARY: Retrospective: “Toward Greater Transparency and Efficiency in Trading Fixed-Income ETF Portfolios”,"Ananth Madhavan,Stephen Laipply and Aleksander Sobczyk",Fall 2018,13,(4),59-61,https://doi.org/10.3905/jot.2018.1.065
Toward Greater Transparency and Efficiency in Trading Fixed-Income ETF Portfolios,"Ananth Madhavan,Stephen Laipply and Aleksander Sobczyk",Fall 2018,13,(4),62-70,https://doi.org/10.3905/jot.2018.13.4.062
"COMMENTARY: Dark Pools, Fragmented Markets, and the Quality of Price Discovery: Commentary",Robert A. Schwartz,Fall 2018,13,(4),71-73,https://doi.org/10.3905/jot.2018.13.4.071
"Dark Pools, Fragmented Markets, and the Quality of Price Discovery",Robert A. Schwartz,Fall 2018,13,(4),74-79,https://doi.org/10.3905/jot.2018.13.4.074
COMMENTARY: A Market Structure That Fits the Needs of Portfolio Managers,Charles Polk and Evan Schulman,Fall 2018,13,(4),80-81,https://doi.org/10.3905/jot.2018.13.4.080
Market Structure Matters,Charles Polk and Evan Schulman,Fall 2018,13,(4),82-84,https://doi.org/10.3905/jot.2018.13.4.082
COMMENTARY: Chief Investment Officer (CIO) View of Trader Alpha Frontier (TAF),Vlad Rashkovich,Fall 2018,13,(4),85-87,https://doi.org/10.3905/jot.2018.13.4.085
Trader Alpha Frontier: A Framework for Portfolio Managers and Traders to Maximize Portfolio Performance,Vlad Rashkovich,Fall 2018,13,(4),88-98,https://doi.org/10.3905/jot.2018.13.4.088
COMMENTARY: Space Unicorns and the Intermarket Trading System: Revisiting Myths,James P. Selway,Fall 2018,13,(4),99,https://doi.org/10.3905/jot.2018.13.4.099
Five Myths About Listed Trading,James P. Selway,Fall 2018,13,(4),100-104,https://doi.org/10.3905/jot.2018.13.4.100
COMMENTARY: Trends in Volume Forecasting: Developments and Applications,"Venkatesh Satish,Max Palmer and Abhay Saxena",Fall 2018,13,(4),105-106,https://doi.org/10.3905/jot.2018.1.066
Predicting Intraday Trading Volume and Volume Percentages,"Venkatesh Satish,Abhay Saxena and Max Palmer",Fall 2018,13,(4),107-116,https://doi.org/10.3905/jot.2018.13.4.107
COMMENTARY: A Retrospective Look: Phantom Liquidity and High-Frequency Quoting,"Jesse Blocher,Rick Cooper,Jonathan Seddon and Ben Van Vliet",Fall 2018,13,(4),117-118,https://doi.org/10.3905/jot.2018.13.4.117
Phantom Liquidity and High-Frequency Quoting,"Jesse Blocher,Rick Cooper,Jonathan Seddon and Ben Van Vliet",Fall 2018,13,(4),119-128,https://doi.org/10.3905/jot.2018.13.4.119
COMMENTARY: Reflections on “Cluster Analysis for Evaluating Trading Strategies”,Jeffrey M. Bacidore,Fall 2018,13,(4),130-131,https://doi.org/10.3905/jot.2018.13.4.130
Cluster Analysis for Evaluating Trading Strategies,"Jeff Bacidore,Kathryn Berkow,Ben Polidore and Nigam Saraiya",Fall 2018,13,(4),132-137,https://doi.org/10.3905/jot.2018.13.4.132
Machine Learning for Algorithmic Trading and Trade Schedule Optimization,Robert Kissell and Jungsun “Sunny” Bae,Fall 2018,13,(4),138-147,https://doi.org/10.3905/jot.2018.13.4.138
